question,question_reasoning,answer,final_formula,answer_reasoning,table
What is the difference in Umsatzerloese for Adidas between 2022 and 2012?,Identify the company and metric from the table: Adidas and Umsatzerloese | Determine the years for which data is available: 2012 to 2023 | Calculate the difference in Umsatzerloese between 2022 and 2012 for Adidas | This requires subtracting the Umsatzerloese value for 2012 from the Umsatzerloese value for 2022,16433.0,"subtract(132093.0, 115660.0)","Extract Umsatzerloese for 2022 = 115660.0 | Extract Umsatzerloese for 2012 = 132093.0 | Compute difference in Umsatzerloese = subtract(132093.0, 115660.0)","{'metric': 'Umsatzerloese', 'company': 'Adidas', 'raw': ""{'Kennzahlen': 'Umsatzerloese', '2012': 132093.0, '2013': 122450.0, '2014': 111556.0, '2015': 42656.0, '2016': 38173.0, '2017': 37965.0, '2018': 30084.0, '2019': 40803.0, '2020': 60944.0, '2021': 77358.0, '2022': 115660.0, '2023': 93686.0, 'Unternehmen': 'Adidas'}""}"
What is the average annual change in EBITDA for Adidas from 2012 to 2023?,"Identify the company name as 'Adidas' from the table. | Recognize the metric name 'EBITDA' from the table. | Note the years present in the table, specifically 2012 to 2023. | Design a question that requires arithmetic operations involving the EBITDA values for Adidas over the years. | Ensure the question asks for a single numeric value as the answer.","divide(-303.0, 11)","divide(add(subtract(9315.0, 10771.0), subtract(8337.0, 9315.0), subtract(5844.0, 8337.0), subtract(4939.0, 5844.0), subtract(4955.0, 4939.0), subtract(4840.0, 4955.0), subtract(5564.0, 4840.0), subtract(6905.0, 5564.0), subtract(10431.0, 6905.0), subtract(4455.0, 10431.0), subtract(4709.0, 4455.0)), 11)",Extract EBITDA values for each year from 2012 to 2023 from the table | Compute the differences in EBITDA between consecutive years | Compute the average of these differences by summing them up and dividing by the number of years minus one,"{'metric': 'EBITDA', 'company': 'Adidas', 'raw': ""{'Kennzahlen': 'EBITDA', '2012': 10771.0, '2013': 9315.0, '2014': 8337.0, '2015': 5844.0, '2016': 4939.0, '2017': 4955.0, '2018': 4840.0, '2019': 5564.0, '2020': 6905.0, '2021': 10431.0, '2022': 4455.0, '2023': 4709.0, 'Unternehmen': 'Adidas'}""}"
What was the average EBITDA-Marge for Adidas from 2012 to 2015?,"To calculate the average EBITDA-Marge for Adidas from 2012 to 2015, we need to sum up the EBITDA-Marge values for these years and divide by the number of years. | The EBITDA-Marge values for Adidas in 2012, 2013, 2014, and 2015 are 8.15, 7.61, 7.47, and 13.7 respectively. | We will add these values together: 8.15 + 7.61 + 7.47 + 13.7 = 36.93 | Then, we will divide the sum by the number of years, which is 4, to get the average: 36.93 / 4 = 9.2325",9.2325,"divide(add(8.15, add(7.61, add(7.47, 13.7))), const_4)","Identify EBITDA-Marge values for 2012 to 2015 from the table: 8.15, 7.61, 7.47, 13.7 | Sum the four values: 8.15 + 7.61 + 7.47 + 13.7 = 36.93 | Divide the sum by 4 to compute the average","{'metric': 'EBITDA-Marge', 'company': 'Adidas', 'raw': ""{'Kennzahlen': 'EBITDA-Marge', '2012': 8.15, '2013': 7.61, '2014': 7.47, '2015': 13.7, '2016': 12.94, '2017': 13.05, '2018': 16.09, '2019': 13.64, '2020': 11.33, '2021': 13.48, '2022': 3.85, '2023': 5.03, 'Unternehmen': 'Adidas'}""}"
"What is the difference in Adidas's EBIT, in millions, between 2020 and 2014?","Identify the company name as 'Adidas' from the table | Recognize the metric name as 'EBIT' from the table | Notice the years provided in the table, specifically 2014 and 2020 | Determine that an arithmetic operation is required to calculate the difference in EBIT between two years | Decide to calculate the difference in EBIT between 2020 and 2014 for Adidas",4361.0,"subtract(3776, -585)",Identify EBIT values for 2020 and 2014 from the table: 3776 and -585 respectively. | Calculate the difference between these EBIT values: subtract -585 from 3776.,"{'metric': 'EBIT', 'company': 'Adidas', 'raw': ""{'Kennzahlen': 'EBIT', '2012': 4677.0, '2013': 5165.0, '2014': -585.0, '2015': 3563.0, '2016': 3112.0, '2017': 3074.0, '2018': 2989.0, '2019': 3220.0, '2020': 3776.0, '2021': 6509.0, '2022': 1077.0, '2023': 1195.0, 'Unternehmen': 'Adidas'}""}"
What is the average EBIT-Marge for Adidas from 2012 to 2015?,"Identify the company and metric from the table: Adidas and EBIT-Marge. | Determine the years for which data is provided: 2012 to 2023. | Calculate the average EBIT-Marge for Adidas over the years 2012 to 2015. | Add the EBIT-Marge values for 2012, 2013, 2014, and 2015: 3.54 + 4.22 - 0.52 + 8.35 = 15.59. | Divide the sum by the number of years to find the average: 15.59 / 4 = 3.8975.",3.8975,"divide(add(3.54, add(4.22, add(-0.52, 8.35))), 4)","Extract EBIT-Marge values for 2012 to 2015: 3.54, 4.22, -0.52, 8.35 | Sum the EBIT-Marge values: add(3.54, add(4.22, add(-0.52, 8.35))) = 15.59 | Count the number of years: 4 | Compute average EBIT-Marge: divide(15.59, 4)","{'metric': 'EBIT-Marge', 'company': 'Adidas', 'raw': ""{'Kennzahlen': 'EBIT-Marge', '2012': 3.54, '2013': 4.22, '2014': -0.52, '2015': 8.35, '2016': 8.15, '2017': 8.1, '2018': 9.94, '2019': 7.89, '2020': 6.2, '2021': 8.41, '2022': 0.93, '2023': 1.28, 'Unternehmen': 'Adidas'}""}"
What is the total Jahresueberschuss for Adidas from 2012 to 2016?,Identify the company and metric from the table: Adidas and Jahresueberschuss | Determine the years for which data is available: 2012 to 2023 | Calculate the total Jahresueberschuss for the years 2012 to 2016 for Adidas | Recognize that the calculation involves summing the Jahresueberschuss values for the specified years,-20391.0,"add(2613.0, add(2510.0, add(-3130.0, add(-6377.0, -16007.0))))","Located the relevant years (2012-2016) in the table for Adidas. | Extracted the Jahresueberschuss values for each year: 2613.0, 2510.0, -3130.0, -6377.0, -16007.0. | Recognized the need to sum these values to find the total Jahresueberschuss. | Applied the correct formula to sum the extracted values: add(2613.0, add(2510.0, add(-3130.0, add(-6377.0, -16007.0)))) | Computed the formula to get the accurate total.","{'metric': 'Jahresueberschuss', 'company': 'Adidas', 'raw': ""{'Kennzahlen': 'Jahresueberschuss', '2012': 2613.0, '2013': 2510.0, '2014': -3130.0, '2015': -6377.0, '2016': -16007.0, '2017': 4180.0, '2018': 1505.0, '2019': 1792.0, '2020': 1270.0, '2021': 5305.0, '2022': 2242.0, '2023': 760.0, 'Unternehmen': 'Adidas'}""}"
What is the difference between the 'Netto-Marge' of Adidas in 2012 and 2020?,"Identify the company name as 'Adidas' from the table. | Recognize the metric name as 'Netto-Marge' which needs to be used in the question. | Select a specific year from the table, for example, 2012 and 2020, to be included in the question. | Design the question to require an arithmetic operation, such as calculating the difference or average, between the 'Netto-Marge' values of the selected years.",0.1,"subtract(2.08, 1.98)",Extract 'Netto-Marge' of Adidas in 2012 = 1.98 | Extract 'Netto-Marge' of Adidas in 2020 = 2.08 | Compute the difference between the two 'Netto-Marge' values: subtract 1.98 from 2.08,"{'metric': 'Netto-Marge', 'company': 'Adidas', 'raw': ""{'Kennzahlen': 'Netto-Marge', '2012': 1.98, '2013': 2.05, '2014': -2.81, '2015': -14.95, '2016': -41.93, '2017': 11.01, '2018': 5.0, '2019': 4.39, '2020': 2.08, '2021': 6.86, '2022': 1.94, '2023': 0.81, 'Unternehmen': 'Adidas'}""}"
What was the percentage change in Adidas's Cashflow from 2012 to 2020?,"Identify the company name as 'Adidas' from the table. | Recognize the metric name as 'Cashflow' from the table. | Note the years present in the table, specifically 2012 and 2020. | Determine that an arithmetic operation is required to calculate the difference in Cashflow between 2012 and 2020. | Decide to calculate the percentage change in Cashflow from 2012 to 2020.",-0.3972521132278481,"divide(subtract(5313.0, 8808.0), 8808.0)","Extract Cashflow for 2012 = 8808.0 | Extract Cashflow for 2020 = 5313.0 | Compute change in Cashflow = subtract(5313.0, 8808.0) | Compute original Cashflow value for percentage calculation = 8808.0 | Compute percentage change = divide(subtract(5313.0, 8808.0), 8808.0)","{'metric': 'Cashflow', 'company': 'Adidas', 'raw': ""{'Kennzahlen': 'Cashflow', '2012': 8808.0, '2013': 6375.0, '2014': 6478.0, '2015': 6179.0, '2016': 5293.0, '2017': -2952.0, '2018': 2853.0, '2019': 2965.0, '2020': 5313.0, '2021': 4069.0, '2022': 10045.0, '2023': 5654.0, 'Unternehmen': 'Adidas'}""}"
What is the difference in Ergebnis je Aktie between 2017 and 2012 for Adidas?,Identify the company and metric from the table: Adidas and Ergebnis je Aktie. | Determine the years for which data is available: 2012 to 2023. | Calculate the difference in Ergebnis je Aktie between 2017 and 2012 for Adidas. | Perform the subtraction: Ergebnis je Aktie in 2017 - Ergebnis je Aktie in 2012.,0.69,"subtract(1.84, 1.15)",Locate Ergebnis je Aktie for 2017: 1.84 | Locate Ergebnis je Aktie for 2012: 1.15 | Compute the difference between the two values: subtract 1.15 from 1.84,"{'metric': 'Ergebnis je Aktie', 'company': 'Adidas', 'raw': ""{'Kennzahlen': 'Ergebnis je Aktie', '2012': 1.15, '2013': 1.12, '2014': -1.55, '2015': -3.6, '2016': -4.33, '2017': 1.84, '2018': 1.49, '2019': 0.68, '2020': 0.39, '2021': 1.8, '2022': 0.7, '2023': 0.2, 'Unternehmen': 'Adidas'}""}"
What is the decline in Adidas's Dividende from 2012 to 2014?,Identify the company and metric from the table: Adidas and Dividende | Determine the years for which data is available: 2012 to 2023 | Calculate the difference in dividend between 2014 and 2012 to find the decline | Subtract the 2014 dividend from the 2012 dividend to get the decline,0.6,"subtract(1.1, 0.5)","Locate Dividende for 2012: 1.1 | Locate Dividende for 2014: 0.5 | Compute decline: subtract(1.1, 0.5)","{'metric': 'Dividende', 'company': 'Adidas', 'raw': ""{'Kennzahlen': 'Dividende', '2012': 1.1, '2013': 0.6, '2014': 0.5, '2015': 0.5, '2016': 0.21, '2017': 0.3, '2018': 0.43, '2019': 0.46, '2020': 0.47, '2021': 0.49, '2022': 0.51, '2023': 0.53, 'Unternehmen': 'Adidas'}""}"
